Strain,Australis,Autumnalis,Ballum,Bataviae,Canicola,Celledoni,Cynopteri,Djasiman,Grippotyphosa,Hebdomadis,Icterohaemorrhagiae,Javanica,Manhao,Mini,Panama,Pomona,Pyrogenes,Ranarum,Sarmin,Sejroe,Shermani,Tarassovi,Serogroup,class,Species,max
56274,35.198,37.512,46.618,57.041,47.596,41.312,37.946,40.594,43.393,40.884,46.915,44.429,41.362,38.53,36.749,41.538,46.961,42.06,50.507,38.849,88.789,77.522,Tarassovi,4,santarosai,88.789
ratnapura1236,61.845,76.237,50.49,41.896,55.126,44.45,81.157,78.352,88.834,38.395,52.414,49.229,47.418,33.847,61.333,71.169,54.4,44.189,44.724,36.659,41.993,43.59,Grippotyphosa,2,kirschneri,88.834
201600680,33.497,35.791,38.275,35.11,43.021,35.324,37.047,38.871,40.179,82.779,42.529,39.069,38.463,87.87,34.881,40.675,42.1,35.068,38.847,88.854,43.182,45.22,Mini,3,borgpetersenii,88.854
201600674,33.095,35.446,37.875,34.673,42.364,34.863,36.429,38.069,39.369,82.167,41.909,38.623,37.995,87.861,34.239,39.994,41.956,34.48,38.389,88.92,42.218,44.758,Mini,3,borgpetersenii,88.92
201600664,33.271,36.173,38.266,35.018,42.796,35.191,36.801,38.556,39.856,82.251,42.322,38.992,38.357,88.128,34.992,40.411,41.762,34.852,38.743,88.941,42.921,46.181,Mini,3,borgpetersenii,88.941
201600681,33.757,36.026,38.737,35.475,43.318,35.583,37.313,39.145,40.441,82.187,42.822,39.435,38.798,87.512,35.072,40.934,42.421,35.3,39.064,89.046,43.767,45.589,Mini,3,borgpetersenii,89.046
1548,36.733,36.872,34.051,89.2,39.088,31.269,38.321,40.899,40.459,35.007,39.347,33.221,31.569,31.466,36.847,39.371,39.803,31.997,33.953,33.679,55.071,52.428,Bataviae,4,interrogans,89.2
L_60,41.599,45.885,61.895,35.401,66.291,61.753,47.742,51.334,54.068,39.748,63.593,62.764,89.222,40.648,43.8,50.712,64.668,58.339,60.969,41.636,38.613,45.328,Manhao,1,alexanderi,89.222
201700037,53.408,57.61,60.931,44.83,86.749,59.715,56.366,60.466,64.096,47.672,89.414,63.524,65.27,43.118,54.44,55.534,77.874,62.668,63.613,45.537,47.739,52.859,Canicola,1,kirschneri,89.414
Rr5,43.683,51.025,63.084,39.321,71.211,66.079,52.636,55.716,56.718,45.842,70.56,67.167,66.154,43.381,48.033,53.234,73.504,60.67,89.646,43.52,57.195,52.981,Sarmin,1,santarosai,89.646
200901868,63.525,78.218,51.263,39.042,52.311,45.236,89.75,80.449,87.659,37.487,52.011,52.02,46.114,37.872,61.488,82.784,51.881,43.597,49.45,41.268,41.252,46.889,Pomona,2,borgpetersenii,89.75
202001913,49.544,56.303,61.785,44.242,89.818,58.125,55.926,65.846,65.337,49.077,87.332,63.259,66.694,43.299,51.254,59.448,80.921,59.605,62.755,44.959,46.349,51.672,Canicola,1,interrogans,89.818
202202764,43.681,51.903,63.221,39.295,71.221,66.179,52.771,55.703,56.71,45.854,70.59,67.304,66.296,43.644,48.023,53.883,73.609,60.795,89.821,43.345,57.309,53.562,Sarmin,1,santarosai,89.821
201401324,49.277,56.009,61.507,43.987,89.881,57.982,55.612,65.5,64.99,49.25,87.401,63.106,66.739,43.462,50.956,59.343,80.993,59.451,62.794,45.025,45.849,51.349,Canicola,1,interrogans,89.881
201401326,49.375,55.874,61.607,44.103,89.991,58.076,55.729,65.629,65.115,49.098,87.506,63.2,66.636,43.306,51.067,59.243,80.702,59.546,62.684,44.968,45.888,51.429,Canicola,1,interrogans,89.991
Wumalasena,61.796,76.085,48.992,39.434,53.804,44.093,82.962,81.021,90.041,38.831,51.107,48.102,46.912,34.206,60.63,72.636,52.661,43.225,44.144,36.477,42.427,42.07,Grippotyphosa,2,kirschneri,90.041
201401328,49.266,55.746,61.669,44.169,90.057,58.096,55.795,65.701,65.191,49.171,87.524,63.257,66.692,43.363,51.13,59.307,80.764,59.604,62.736,45.041,45.993,51.504,Canicola,1,interrogans,90.057
Fiocruz_LV999,47.426,53.916,58.349,42.115,86.919,55.704,53.598,59.042,58.296,45.844,90.207,61.906,61.605,40.3,48.479,56.289,78.528,55.551,61.447,42.803,43.099,46.886,Icterohaemorrhagiae,1,interrogans,90.207
Noumea25,41.712,47.192,90.266,36.666,62.724,63.131,49.345,51.056,54.895,37.049,56.188,79.071,59.992,37.288,43.324,51.149,67.165,60.227,58.652,41.559,42.346,52.766,Ballum,1,borgpetersenii,90.266
MAVJ401,45.382,51.453,66.738,39.196,69.607,70.12,53.24,54.538,57.096,44.858,69.023,70.406,69.719,44.446,48.49,55.444,72.21,61.149,90.473,44.251,54.731,51.606,Javanica,1,santarosai,90.473
L0996,32.794,33.905,34.344,35.309,43.748,34.554,36.371,40.37,38.63,90.527,43.073,33.873,36.4,78.322,35.092,38.384,42.959,33.294,36.654,83.648,40.873,38.073,Hebdomadis,3,Leptospira interrogans str. L0996,90.527
172_IZSLER,30.684,34.328,37.441,33.07,41.999,33.663,35.305,37.473,38.261,80.493,41.542,37.218,37.15,79.604,32.274,38.639,40.604,33.28,37.57,90.624,41.384,43.789,Sejroe,3,borgpetersenii,90.624
Hook,90.693,73.612,47.426,43.794,51.933,45.384,69.869,78.228,74.197,39.713,53.008,46.322,44.489,35.578,74.262,73.216,51.667,43.483,45.134,37.977,43.796,44.784,Australis,2,noguchii,90.693
RM52,62.911,74.323,48.655,39.778,53.195,41.312,85.123,81.732,90.988,36.026,50.544,46.798,45.326,31.818,60.819,72.661,50.937,43.619,43.024,34.48,38.539,40.414,Grippotyphosa,2,kirschneri,90.988
202201150,64.606,79.348,52.551,40.099,53.73,46.398,91.033,82.055,89.243,39.102,53.368,53.233,47.3,39.379,62.605,83.554,53.002,44.818,50.717,42.208,43.572,48.47,Pomona,2,borgpetersenii,91.033
ACSSAX2020,32.269,35.142,38.081,34.593,42.567,35.51,36.71,38.361,39.631,82.102,42.041,37.862,37.771,79.899,33.361,39.949,40.985,34.314,37.942,91.038,42.336,44.494,Sejroe,3,borgpetersenii,91.038
201502616,38.911,40.404,35.418,91.111,40.779,32.805,40.103,42.862,42.229,36.942,41.101,34.408,32.882,33.33,38.345,41.605,41.305,33.496,35.682,35.617,57.859,54.835,Bataviae,4,interrogans,91.111
Valbuzzi,59.667,73.68,47.967,39.17,55.908,41.284,78.544,88.904,91.178,38.305,53.328,46.084,45.996,32.532,58.822,77.008,54.433,42.497,43.205,34.016,39.201,40.038,Grippotyphosa,2,interrogans,91.178
LT821,26.922,29.901,31.387,42.1,32.641,30.339,29.928,31.422,31.979,33.798,31.84,30.726,28.41,32.897,28.724,31.61,32.828,29.71,36.74,32.548,91.275,50.555,Shermani,4,santarosai,91.275
200702274,62.586,74.687,48.599,39.73,53.062,41.482,85.383,81.545,91.388,35.947,50.418,46.743,45.255,31.82,60.259,72.567,50.79,43.566,42.958,34.397,38.439,40.696,Grippotyphosa,2,kirschneri,91.388
Moskva,62.722,74.839,48.68,39.853,53.199,41.187,85.486,81.758,91.577,36.066,50.549,46.819,45.344,31.937,60.36,72.666,50.941,43.641,43.001,34.513,38.612,40.793,Grippotyphosa,2,kirschneri,91.577
201800317,33.128,35.966,38.96,35.399,43.57,35.608,37.524,39.361,40.627,81.777,43.054,38.653,38.559,80.862,34.234,40.935,42.586,35.133,38.92,91.585,43.962,45.328,Sejroe,3,borgpetersenii,91.585
FMAS_KW1,62.747,73.224,46.964,40.025,54.516,42.332,75.511,91.671,84.341,37.732,54.642,47.852,44.622,32.453,60.387,86.294,54.584,40.964,44.043,34.957,38.159,39.963,Djasiman,2,Leptospira interrogans,91.671
CEMINAC,39.466,41.029,36.006,91.689,41.423,33.327,40.761,43.588,42.956,37.668,41.717,34.961,33.419,34.011,38.918,42.266,42.054,34.055,36.201,36.32,58.907,55.557,Bataviae,4,interrogans,91.689
Fiocruz_LV2804,47.758,54.346,59.161,42.597,88.486,56.683,54.31,59.941,59.044,46.689,91.724,63.126,62.604,41.231,49.235,57.097,80.73,56.526,62.665,43.71,43.192,48.191,Icterohaemorrhagiae,1,interrogans,91.724
Fiocruz_LV224,47.185,53.676,59.11,41.409,88.825,56.397,53.65,59.139,58.374,45.718,91.875,63.088,62.635,39.815,48.517,56.326,80.745,56.7,62.657,42.075,41.495,47.463,Icterohaemorrhagiae,1,interrogans,91.875
FDAARGOS_203,48.256,54.884,59.578,42.929,88.894,57.653,54.385,59.99,59.789,46.918,91.896,63.434,62.956,41.42,49.448,57.178,81.702,57.439,62.965,43.861,43.45,48.846,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni,91.896
898,48.259,54.887,59.581,42.929,88.897,57.656,54.388,59.994,59.792,46.918,91.899,63.437,62.959,41.42,49.451,57.182,82.257,57.442,62.968,43.861,43.45,48.846,Icterohaemorrhagiae,1,interrogans,91.899
L0448,33.244,34.096,34.426,35.609,43.839,34.609,36.593,40.472,38.848,91.899,43.16,33.95,36.476,78.676,35.281,38.475,43.907,33.372,36.728,84.047,41.31,38.367,Sejroe,3,Leptospira interrogans serovar Medanensis str. L0448,91.899
SK1,48.194,54.887,59.581,42.929,88.897,57.656,54.388,59.994,59.792,46.918,91.899,63.437,62.959,41.42,49.375,57.182,82.683,57.442,62.9,43.861,43.45,48.846,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni,91.899
Fiocruz_LV2840,48.105,54.677,58.805,42.408,88.638,56.371,54.363,60.031,59.124,46.544,91.918,62.78,62.259,40.928,49.298,57.149,79.877,56.221,62.313,43.415,43.085,47.683,Icterohaemorrhagiae,1,interrogans,91.918
61H,64.732,76.885,48.823,41.611,53.432,43.503,91.938,80.141,88.676,37.697,53.074,49.129,45.079,33.886,62.743,78.167,53.552,43.417,44.798,36.561,41.618,42.18,Pomona,2,kirschneri,91.938
Salinem,46.179,52.122,66.959,39.556,84.753,58.351,49.494,55.267,56.355,44.094,79.274,64.654,62.667,38.413,47.52,52.047,92.077,57.649,62.746,40.127,41.714,48.216,Pyrogenes,1,interrogans,92.077
202000070,63.076,75.193,46.967,39.977,54.5,42.488,77.22,92.094,84.587,37.575,55.412,47.744,44.615,32.449,60.667,87.599,55.463,40.929,44.56,34.96,38.126,40.566,Djasiman,2,interrogans,92.094
200202130,47.657,55.244,59.734,41.575,87.731,57.335,54.132,59.62,58.869,46.061,92.137,63.868,62.41,41.173,48.372,56.468,80.762,57.694,63.402,43.785,42.828,49.49,Icterohaemorrhagiae,1,interrogans,92.137
202103008,62.82,77.705,49.074,40.402,53.791,41.889,86.162,82.923,92.159,37.137,51.633,47.676,45.83,32.737,60.605,74.158,52.011,44.167,44.251,35.297,40.564,41.843,Grippotyphosa,2,kirschneri,92.159
M20,48.646,55.003,59.968,43.522,89.219,58.214,55.165,60.648,60.28,47.572,92.205,63.8,63.298,42.035,49.965,57.616,82.84,57.807,63.433,44.491,44.298,49.492,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni str. M20,92.205
HAI0188,48.552,54.901,59.88,43.266,89.227,57.929,54.725,60.366,60.164,47.29,92.215,63.718,63.235,41.77,49.774,57.478,82.633,57.726,63.118,44.219,43.89,49.223,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni str. HAI0188,92.215
LEP1226,62.788,77.612,49.095,40.676,53.818,41.695,86.111,82.294,92.231,36.912,51.189,47.832,45.898,32.558,61.566,74.721,52.271,44.218,44.054,35.433,40.134,41.668,Grippotyphosa,2,kirschneri,92.231
200703021,63.33,78.092,49.157,40.519,53.858,41.677,86.202,82.393,92.233,36.692,51.153,47.722,45.896,32.415,60.744,74.532,52.289,44.195,43.946,35.134,39.896,41.513,Grippotyphosa,2,kirschneri,92.233
200703020,63.362,78.129,49.187,40.566,53.893,41.705,85.97,82.424,92.268,36.73,51.185,47.752,45.938,32.451,60.784,74.563,52.404,44.225,43.951,35.21,39.954,41.555,Grippotyphosa,2,kirschneri,92.268
20021189,63.067,77.909,49.07,40.54,53.872,41.521,85.767,82.449,92.288,36.657,51.163,47.691,45.866,32.36,60.592,74.506,52.148,44.167,43.916,35.167,39.849,41.483,Grippotyphosa,2,kirschneri,92.288
Brem_127_Duyster,63.023,78.882,49.221,39.92,54.088,41.048,86.297,83.409,92.298,36.499,51.312,47.797,45.947,31.911,60.885,75.146,51.825,43.762,43.945,34.598,39.741,41.452,Grippotyphosa,2,kirschneri,92.298
201402975,63.291,78.146,49.085,40.556,53.892,41.547,85.855,82.471,92.31,36.675,51.184,47.708,45.894,32.377,60.608,74.508,52.499,44.176,43.931,35.184,39.874,41.5,Grippotyphosa,2,kirschneri,92.31
UCR5RB1,63.099,75.249,49.274,40.527,53.858,41.734,87.065,82.502,92.32,36.81,51.179,47.382,45.896,32.626,61.013,73.325,51.565,44.21,43.574,35.229,39.686,41.527,Grippotyphosa,2,Leptospira kirschneri serovar Grippotyphosa,92.32
201600670,62.674,76.268,50.434,40.589,54.936,42.949,85.499,81.04,92.363,38.677,52.337,49.671,47.302,34.755,61.61,71.37,53.469,43.905,43.983,37.004,42.875,42.472,Grippotyphosa,2,kirschneri,92.363
202103009,64.766,79.246,49.184,41.308,54.144,44.438,92.445,80.385,89.247,39.191,53.657,49.769,46.197,35.089,62.781,79.172,53.92,44.124,45.962,37.299,42.421,42.866,Pomona,2,kirschneri,92.445
Fiocruz_LV2799,48.294,54.806,60.065,42.79,90.399,57.176,54.527,60.449,59.215,47.648,92.512,63.587,63.078,41.693,49.686,57.573,81.537,56.807,63.082,44.187,44.415,48.757,Icterohaemorrhagiae,1,interrogans,92.512
202102999,48.322,56.24,60.01,43.002,88.622,58.735,54.716,60.634,59.514,48.519,92.534,64.126,63.695,43.2,49.054,57.375,81.957,58.21,63.983,45.786,45.896,49.975,Icterohaemorrhagiae,1,interrogans,92.534
202102994,64.85,79.508,48.558,40.463,53.478,42.897,92.539,80.251,89.827,37.434,53.024,49.167,45.114,33.439,62.684,79.607,53.287,43.378,45.115,35.705,40.844,42.099,Pomona,2,kirschneri,92.539
Fiocruz_LV2832,48.228,54.903,59.963,43.327,89.308,57.383,54.952,60.671,59.446,47.303,92.547,63.533,63.114,41.905,49.749,57.393,80.695,56.927,63.205,44.451,44.483,49.048,Icterohaemorrhagiae,1,interrogans,92.547
UI_09931,44.184,49.411,83.054,37.109,63.849,74.834,50.621,50.072,53.982,37.939,66.705,92.607,62.586,38.536,47.059,51.176,68.372,67.795,64.287,42.54,44.139,56.047,Javanica,1,borgpetersenii,92.607
LP101,61.602,75.777,48.855,40.432,56.374,45.505,81.203,86.722,92.625,38.773,56.456,49.029,45.562,34.308,61.719,78.761,56.53,42.171,44.902,35.661,40.682,41.238,Autumnalis,2,Leptospira interrogans serovar Autumnalis str. LP101,92.625
Fiocruz_LV2806,48.105,54.581,59.651,43.774,89.584,57.558,54.845,60.587,59.146,47.578,92.685,63.499,63.194,41.892,49.783,57.202,80.89,56.925,63.498,44.393,44.848,48.593,Icterohaemorrhagiae,1,interrogans,92.685
202102907,48.416,56.478,59.605,42.958,88.367,57.28,55.13,61.106,59.88,46.604,92.758,63.372,62.409,41.181,49.138,57.774,82.119,57.132,63.34,43.704,43.378,49.879,Icterohaemorrhagiae,1,interrogans,92.758
2006006972,49.422,55.388,60.647,44.778,89.877,59.152,56.707,62.027,61.258,48.952,92.762,64.458,63.998,43.109,51.064,58.452,82.834,58.534,64.304,45.624,46.187,50.148,Icterohaemorrhagiae,1,interrogans,92.762
Fiocruz_LV212,48.307,54.882,60.12,43.909,89.563,57.818,55.166,60.987,59.757,48.126,92.802,64.021,63.613,42.418,50.085,57.786,81.455,57.428,63.765,44.946,45.076,49.765,Icterohaemorrhagiae,1,interrogans,92.802
Duyster,60.92,75.043,49.187,40.368,57.256,42.255,79.741,90.225,92.807,39.625,54.619,47.233,47.11,33.779,59.967,78.45,55.393,43.66,44.15,35.162,41.108,41.544,Grippotyphosa,2,interrogans,92.807
FMAS_AW1,61.417,71.974,46.378,39.847,53.095,43.795,78.211,92.826,83.339,37.809,53.444,46.851,43.44,33.179,59.531,85.019,53.66,39.916,44.356,35.269,38.224,39.167,Autumnalis,2,Leptospira interrogans,92.826
FMAS_AW2,61.427,71.985,46.388,39.868,53.106,43.884,78.423,92.838,83.351,37.822,53.455,46.86,43.45,33.191,59.63,85.03,53.735,39.912,44.365,35.278,38.243,39.176,Autumnalis,2,Leptospira interrogans,92.838
1530d,49.354,54.846,59.652,42.758,88.937,58.34,55.387,61.373,60.289,46.906,92.853,63.858,63.694,41.139,50.601,58.631,82.84,58.1,63.653,43.08,43.582,48.407,Icterohaemorrhagiae,1,interrogans,92.853
2006006986,61.129,75.438,48.356,40.435,56.088,41.582,81.024,89.729,92.873,37.686,54.263,46.498,46.193,32.655,60.327,79.842,55.536,42.533,44.068,34.625,39.197,40.699,Grippotyphosa,2,interrogans,92.873
2006006982,49.554,55.488,60.781,44.929,90.025,59.275,56.873,62.194,61.424,49.119,92.904,64.584,64.122,43.358,51.209,58.599,82.779,58.662,64.423,45.876,46.4,50.41,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni str. 2006006982,92.904
202102993,64.975,79.646,48.532,40.399,53.285,43.231,92.962,80.729,90.028,37.615,52.837,49.152,44.964,33.546,62.484,79.575,53.09,43.35,45.236,35.812,41.1,42.355,Pomona,2,kirschneri,92.962
TE_0159,45.031,47.78,92.962,38.909,71.117,73.905,48.369,50.976,54.521,39.732,66.56,92.291,65.451,39.641,47.51,50.868,73.705,71.494,63.984,43.677,45.851,58.522,Ballum,1,borgpetersenii,92.962
Kantorowic,49.379,55.36,60.719,44.638,90.047,59.121,56.771,61.878,61.281,48.802,92.994,64.511,64.04,43.191,51.096,58.47,82.989,58.572,64.131,45.676,45.937,50.245,Icterohaemorrhagiae,1,interrogans,92.994
Fiocruz_LV2933,48.592,55.17,60.258,43.03,90.219,57.811,54.871,60.831,59.669,47.551,93.018,64.145,63.64,41.929,49.908,57.856,81.76,57.487,63.606,44.466,44.289,49.403,Icterohaemorrhagiae,1,interrogans,93.018
UT053,58.869,68.742,49.227,41.364,61.322,45.632,74.833,84.997,77.463,93.02,59.171,49.339,49.827,79.293,57.62,84.822,60.486,44.489,49.047,84.661,44.304,42.862,Sejroe,3,Leptospira interrogans serovar Medanensis str. UT053,93.02
202102991,65.346,79.966,48.696,40.817,53.609,43.211,93.041,80.754,90.392,37.581,53.149,49.278,45.206,33.6,62.787,80.17,53.399,43.492,45.204,36.038,41.029,42.248,Pomona,2,kirschneri,93.041
201800890,64.871,79.972,48.719,40.228,53.651,43.277,93.043,80.803,90.443,37.632,53.189,49.33,45.258,33.018,62.832,80.133,53.49,43.533,45.241,35.72,41.103,42.301,Pomona,2,kirschneri,93.043
NIID15,63.401,77.001,48.159,41.419,55.92,43.272,79.454,93.072,87.321,39.442,56.511,48.704,45.634,33.756,61.077,90.559,55.974,41.936,45.879,36.21,39.959,41.56,Autumnalis,2,interrogans,93.072
202102989,65.155,79.966,48.675,40.743,53.64,43.274,93.078,80.839,90.431,37.639,53.178,49.277,45.226,33.555,62.802,80.205,53.446,43.481,45.257,35.928,41.14,42.326,Pomona,2,kirschneri,93.078
Andaman,60.883,74.429,48.941,40.374,56.447,41.616,80.814,90.049,93.136,38.204,53.912,46.828,46.376,33.345,60.514,78.866,55.725,42.825,43.92,34.702,39.6,40.296,Grippotyphosa,2,interrogans,93.136
202103007,65.342,80.097,48.8,40.812,53.746,43.357,93.141,80.908,90.546,37.735,53.28,49.406,45.321,33.681,62.925,80.307,53.464,43.61,45.314,36.12,41.251,42.4,Pomona,2,kirschneri,93.141
Fiocruz_LV2908,48.25,54.838,60.073,43.463,89.949,57.944,55.28,61.175,59.543,47.633,93.17,63.969,63.521,41.758,49.642,57.618,81.319,57.394,63.872,44.139,44.459,49.315,Icterohaemorrhagiae,1,interrogans,93.17
S606,49.441,55.559,60.787,44.289,90.227,58.76,55.749,61.494,61.292,48.418,93.171,64.573,64.073,42.83,50.751,58.511,82.945,58.589,64.041,45.306,45.534,50.327,Icterohaemorrhagiae,1,interrogans,93.171
B42,49.441,55.555,60.787,44.289,90.227,58.76,55.749,61.494,61.292,48.418,93.171,64.573,64.073,42.83,50.751,58.511,82.345,58.589,64.041,45.306,45.534,50.327,Icterohaemorrhagiae,1,interrogans,93.171
L231,44.368,48.669,73.991,40.342,67.219,93.171,52.85,51.75,55.593,41.24,71.058,81.916,68.78,40.281,48.92,52.638,72.522,71.317,68.399,41.548,45.911,51.965,Manhao,1,Leptospira weilii serovar Heyan,93.171
158130,62.445,78.032,49.109,41.26,57.462,44.278,81.935,87.872,93.177,40.029,58.025,49.538,46.398,34.726,62.128,81.185,57.434,43.057,46.95,35.977,41.672,42.669,Autumnalis,2,interrogans,93.177
B167,49.451,55.564,60.797,44.301,90.238,58.849,55.945,61.507,61.305,48.431,93.182,64.582,64.083,42.842,50.85,58.523,82.956,58.599,64.05,45.318,45.552,50.34,Icterohaemorrhagiae,1,interrogans,93.182
Piyasena,44.321,48.399,84.918,38.43,65.76,76.969,51.114,50.508,55.289,38.815,68.605,93.183,63.839,39.346,48.238,51.679,70.888,69.74,65.718,43.152,43.616,56.665,Javanica,1,borgpetersenii,93.183
R287,49.461,55.774,60.808,44.313,90.249,58.858,55.956,61.519,61.318,48.444,93.193,64.592,64.092,42.854,50.862,58.501,82.943,58.609,63.944,45.33,45.571,50.353,Icterohaemorrhagiae,1,interrogans,93.193
S1006,49.492,55.807,60.838,44.348,90.284,58.886,55.991,61.558,61.357,48.482,93.226,64.621,64.121,42.89,50.895,58.568,82.999,58.638,64.087,45.367,45.626,50.391,Icterohaemorrhagiae,1,interrogans,93.226
S72,49.502,55.818,60.849,44.359,90.295,58.896,56.003,61.571,61.369,48.495,93.236,64.631,64.13,42.902,50.906,58.579,83.002,58.648,64.096,45.38,45.645,50.403,Icterohaemorrhagiae,1,interrogans,93.236
NIID12,63.532,77.144,48.412,41.571,56.067,43.394,79.605,93.239,87.487,39.609,56.652,48.83,45.758,33.989,61.222,90.706,56.114,42.063,45.979,36.371,40.199,41.724,Autumnalis,2,interrogans,93.239
X240,49.447,55.633,60.859,44.371,90.306,58.905,56.014,61.583,61.382,48.508,93.247,64.641,64.14,42.914,50.841,58.558,83.02,58.658,63.921,45.392,45.663,50.416,Icterohaemorrhagiae,1,interrogans,93.247
W26,49.512,56.3,60.859,44.371,90.306,58.826,55.83,61.583,61.382,48.508,93.247,64.641,64.14,42.914,50.829,58.591,82.42,58.658,64.105,45.392,45.663,50.416,Icterohaemorrhagiae,1,interrogans,93.247
Wijnberg,49.624,56.238,60.979,44.662,90.333,59.059,56.58,61.904,61.536,48.828,93.27,64.751,64.231,43.021,50.966,58.697,83.567,58.767,64.216,45.502,46.188,50.527,Icterohaemorrhagiae,1,interrogans,93.27
202102992,65.157,80.046,48.807,40.903,53.647,43.505,93.282,81.085,90.467,37.917,53.242,49.408,45.32,33.818,62.868,80.04,53.427,43.627,45.444,36.146,41.534,42.607,Pomona,2,kirschneri,93.282
Fiocruz_LV3737,48.965,55.589,60.225,43.685,90.069,57.786,55.347,61.177,60.2,47.858,93.289,64.268,63.751,42.065,50.262,58.128,81.743,57.446,63.616,44.581,44.712,49.659,Icterohaemorrhagiae,1,interrogans,93.289
B33,49.562,55.884,60.911,44.429,90.363,58.952,56.072,61.648,61.446,48.572,93.302,64.689,64.187,42.974,50.973,58.648,82.474,58.707,64.151,45.454,45.756,50.479,Icterohaemorrhagiae,1,interrogans,93.302
RGA,49.536,55.923,60.948,44.569,90.391,59.066,56.625,61.801,61.478,48.726,93.327,64.724,64.225,42.699,51.03,58.675,83.357,58.745,64.193,45.171,46.041,50.078,Icterohaemorrhagiae,1,interrogans,93.327
Nikolaevo,65.883,80.581,50.155,41.725,54.46,45.424,88.984,82.291,93.332,38.526,54.174,51.467,46.031,34.294,64.288,75.142,53.289,43.143,45.079,36.792,42.357,42.025,Autumnalis,2,kirschneri,93.332
Sh9,45.869,46.899,93.336,39.485,71.558,74.15,49.603,51.306,55.997,40.031,67.231,91.028,65.764,39.819,48.917,51.705,74.955,71.911,64.265,43.635,45.318,57.643,Ballum,1,borgpetersenii,93.336
202202782,38.843,41.615,35.397,93.347,39.533,36.146,40.109,41.574,42.171,37.193,40.028,34.937,33.049,33.454,40.42,43.185,39.71,33.734,37.51,36.156,57.067,53.677,Bataviae,4,noguchii,93.347
Fiocruz_LV204,48.823,55.44,60.217,43.922,90.16,57.612,55.182,60.959,60.012,47.35,93.36,64.111,63.608,42.155,50.133,57.975,81.502,57.472,63.664,44.669,45.065,49.582,Icterohaemorrhagiae,1,interrogans,93.36
201203348,44.345,52.372,63.191,37.802,93.362,52.646,49.229,55.997,57.38,43.054,83.624,60.167,60.334,38.668,44.954,52.913,83.199,55.711,60.572,39.634,40.398,49.103,Canicola,1,interrogans,93.362
202102995,48.335,56.397,59.782,42.965,89.02,57.9,55.054,60.99,59.786,46.839,93.383,63.919,62.983,41.404,49.082,57.671,82.741,57.639,63.834,43.933,43.41,49.872,Icterohaemorrhagiae,1,interrogans,93.383
Fiocruz_LV3738,49.234,55.876,60.407,43.918,90.194,57.914,55.659,61.546,60.543,47.917,93.401,64.29,63.667,42.226,50.552,58.454,81.538,57.734,63.544,44.736,44.859,49.719,Icterohaemorrhagiae,1,interrogans,93.401
200801774,63.335,74.047,49.115,39.656,53.485,41.375,84.104,80.75,93.423,36.285,50.98,48.12,45.893,32.263,61.323,71.728,51.912,42.667,42.149,34.777,39.23,41.136,Grippotyphosa,2,kirschneri,93.423
K56,50.473,53.121,68.502,43.611,87.732,62.965,51.239,57.956,58.333,47.987,84.388,66.686,64.934,42.209,50.911,55.654,93.474,62.083,66.747,44.197,46.523,51.429,Pyrogenes,1,interrogans,93.474
202102998,65.765,80.37,49.077,41.381,53.857,43.407,93.477,81.228,90.864,38.056,53.386,49.493,45.411,34.027,63.203,80.589,53.569,43.695,45.402,36.563,41.714,42.716,Pomona,2,kirschneri,93.477
2007005490,49.734,56.289,61.067,44.627,90.556,59.113,56.76,61.866,61.664,48.79,93.486,64.854,64.349,43.148,51.162,58.841,83.927,58.873,64.307,45.657,46.147,50.688,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni str. 2007005490,93.486
202100001,48.416,56.484,59.847,43.034,89.132,57.9,55.146,61.117,59.891,46.839,93.491,63.98,62.983,41.404,49.17,57.784,82.848,57.691,63.887,43.933,43.41,49.945,Icterohaemorrhagiae,1,interrogans,93.491
202101402,48.416,56.484,59.847,43.034,89.132,57.9,55.146,61.117,59.891,46.839,93.491,63.98,62.983,41.404,49.17,57.784,82.848,57.691,63.887,43.933,43.41,49.945,Icterohaemorrhagiae,1,interrogans,93.491
Fiocruz_LV2953,48.687,55.288,60.219,43.257,90.287,57.654,55.024,60.805,59.854,47.393,93.497,64.117,63.618,41.77,49.949,57.834,82.02,57.474,63.624,44.284,44.092,49.405,Icterohaemorrhagiae,1,interrogans,93.497
SEMNICKI,65.635,80.364,49.087,41.081,54.068,43.636,93.503,81.322,90.869,38.126,53.587,49.68,45.591,34.089,63.237,80.323,53.85,43.884,45.606,36.371,41.844,42.752,Pomona,2,kirschneri,93.503
P2431,49.795,55.953,61.148,44.696,90.624,59.09,56.63,61.942,61.741,48.867,93.552,64.912,64.406,43.205,50.498,58.876,83.426,58.932,64.246,45.69,46.029,50.722,Icterohaemorrhagiae,1,interrogans,93.552
423_IZSLER,64.736,80.122,48.18,39.48,53.172,42.324,93.556,81.045,89.69,36.709,52.721,48.835,44.741,32.506,62.631,80.238,52.477,42.493,44.743,34.811,39.915,41.467,Pomona,2,kirschneri,93.556
